Starting Gen 6 N-Player training for 2000000 episodes on cpu...
Ep    11700 | WinRT:  18.0% | AvgLen: 42.8 | ALoss: -0.001 | CLoss:  0.109 | Ent: 0.158 | Time: 4698.9s
Ep    11800 | WinRT:  20.0% | AvgLen: 52.3 | ALoss: -0.000 | CLoss:  0.098 | Ent: 0.157 | Time: 4773.4s
Ep    11900 | WinRT:  17.0% | AvgLen: 50.7 | ALoss: -0.001 | CLoss:  0.097 | Ent: 0.166 | Time: 4844.1s
Ep    12000 | WinRT:  22.0% | AvgLen: 44.2 | ALoss: -0.001 | CLoss:  0.117 | Ent: 0.176 | Time: 4907.1s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen6.pt
Ep    12100 | WinRT:  22.0% | AvgLen: 49.9 | ALoss: -0.001 | CLoss:  0.096 | Ent: 0.164 | Time: 4978.7s
Ep    12200 | WinRT:  16.0% | AvgLen: 53.7 | ALoss: -0.000 | CLoss:  0.083 | Ent: 0.172 | Time: 5053.4s
Ep    12300 | WinRT:  19.0% | AvgLen: 51.1 | ALoss: -0.001 | CLoss:  0.089 | Ent: 0.191 | Time: 5125.8s
Ep    12400 | WinRT:  14.0% | AvgLen: 40.6 | ALoss: -0.000 | CLoss:  0.095 | Ent: 0.228 | Time: 5187.9s
Ep    12500 | WinRT:  25.0% | AvgLen: 51.9 | ALoss: -0.002 | CLoss:  0.115 | Ent: 0.221 | Time: 5259.5s
Ep    12600 | WinRT:  22.0% | AvgLen: 45.6 | ALoss:  0.000 | CLoss:  0.107 | Ent: 0.245 | Time: 5326.0s
Ep    12700 | WinRT:  22.0% | AvgLen: 51.1 | ALoss: -0.001 | CLoss:  0.104 | Ent: 0.243 | Time: 5396.8s
Ep    12800 | WinRT:  17.0% | AvgLen: 41.6 | ALoss: -0.001 | CLoss:  0.112 | Ent: 0.259 | Time: 5456.8s
Ep    12900 | WinRT:  11.0% | AvgLen: 46.2 | ALoss: -0.001 | CLoss:  0.076 | Ent: 0.237 | Time: 5522.6s
Ep    13000 | WinRT:  12.0% | AvgLen: 46.3 | ALoss: -0.000 | CLoss:  0.076 | Ent: 0.229 | Time: 5591.1s
Ep    13100 | WinRT:  19.0% | AvgLen: 51.3 | ALoss: -0.001 | CLoss:  0.091 | Ent: 0.233 | Time: 5659.8s
Ep    13200 | WinRT:  17.0% | AvgLen: 44.7 | ALoss: -0.002 | CLoss:  0.105 | Ent: 0.247 | Time: 5724.2s
Ep    13300 | WinRT:  22.0% | AvgLen: 48.4 | ALoss: -0.001 | CLoss:  0.105 | Ent: 0.228 | Time: 5792.9s
Ep    13400 | WinRT:  14.0% | AvgLen: 50.3 | ALoss: -0.001 | CLoss:  0.080 | Ent: 0.220 | Time: 5864.5s
Ep    13500 | WinRT:  12.0% | AvgLen: 53.6 | ALoss: -0.001 | CLoss:  0.075 | Ent: 0.229 | Time: 5938.8s
Ep    13600 | WinRT:  22.0% | AvgLen: 50.8 | ALoss:  0.001 | CLoss:  0.089 | Ent: 0.220 | Time: 6009.4s
Ep    13700 | WinRT:  13.0% | AvgLen: 46.6 | ALoss: -0.001 | CLoss:  0.085 | Ent: 0.215 | Time: 6078.6s
Ep    13800 | WinRT:  18.0% | AvgLen: 51.9 | ALoss: -0.000 | CLoss:  0.089 | Ent: 0.215 | Time: 6151.4s
Ep    13900 | WinRT:  16.0% | AvgLen: 52.4 | ALoss: -0.001 | CLoss:  0.086 | Ent: 0.219 | Time: 6224.8s
Ep    14000 | WinRT:  17.0% | AvgLen: 45.6 | ALoss: -0.001 | CLoss:  0.095 | Ent: 0.219 | Time: 6291.5s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen6.pt
Ep    14100 | WinRT:  18.0% | AvgLen: 40.7 | ALoss: -0.000 | CLoss:  0.103 | Ent: 0.249 | Time: 6352.1s
Ep    14200 | WinRT:  22.0% | AvgLen: 40.5 | ALoss: -0.001 | CLoss:  0.113 | Ent: 0.252 | Time: 6411.5s
Ep    14300 | WinRT:  26.0% | AvgLen: 40.6 | ALoss: -0.000 | CLoss:  0.132 | Ent: 0.259 | Time: 6470.3s
Ep    14400 | WinRT:  28.0% | AvgLen: 41.8 | ALoss: -0.001 | CLoss:  0.139 | Ent: 0.255 | Time: 6528.4s
Ep    14500 | WinRT:  30.0% | AvgLen: 40.6 | ALoss: -0.002 | CLoss:  0.138 | Ent: 0.275 | Time: 6585.8s
Ep    14600 | WinRT:  16.0% | AvgLen: 43.1 | ALoss: -0.001 | CLoss:  0.123 | Ent: 0.267 | Time: 6647.3s
Ep    14700 | WinRT:  22.0% | AvgLen: 38.4 | ALoss: -0.001 | CLoss:  0.133 | Ent: 0.276 | Time: 6706.0s
Ep    14800 | WinRT:  19.0% | AvgLen: 42.2 | ALoss: -0.002 | CLoss:  0.114 | Ent: 0.250 | Time: 6767.5s
Ep    14900 | WinRT:  21.0% | AvgLen: 40.1 | ALoss: -0.000 | CLoss:  0.117 | Ent: 0.237 | Time: 6828.1s
Ep    15000 | WinRT:  24.0% | AvgLen: 47.1 | ALoss: -0.001 | CLoss:  0.104 | Ent: 0.228 | Time: 6894.7s
Ep    15100 | WinRT:  23.0% | AvgLen: 35.9 | ALoss: -0.000 | CLoss:  0.150 | Ent: 0.266 | Time: 6951.6s
Ep    15200 | WinRT:  17.0% | AvgLen: 51.5 | ALoss: -0.002 | CLoss:  0.085 | Ent: 0.235 | Time: 7020.3s
Ep    15300 | WinRT:  27.0% | AvgLen: 40.1 | ALoss: -0.000 | CLoss:  0.131 | Ent: 0.266 | Time: 7078.6s
Ep    15400 | WinRT:  19.0% | AvgLen: 41.5 | ALoss: -0.001 | CLoss:  0.121 | Ent: 0.268 | Time: 7140.6s
Ep    15500 | WinRT:  21.0% | AvgLen: 38.1 | ALoss: -0.001 | CLoss:  0.119 | Ent: 0.268 | Time: 7199.1s
Ep    15600 | WinRT:  19.0% | AvgLen: 49.2 | ALoss:  0.000 | CLoss:  0.088 | Ent: 0.236 | Time: 7267.9s
Ep    15700 | WinRT:  15.0% | AvgLen: 42.6 | ALoss: -0.001 | CLoss:  0.087 | Ent: 0.243 | Time: 7331.1s
Ep    15800 | WinRT:  23.0% | AvgLen: 42.2 | ALoss: -0.000 | CLoss:  0.117 | Ent: 0.255 | Time: 7393.0s
Ep    15900 | WinRT:  22.0% | AvgLen: 42.2 | ALoss: -0.001 | CLoss:  0.130 | Ent: 0.263 | Time: 7454.0s
Ep    16000 | WinRT:  22.0% | AvgLen: 41.5 | ALoss: -0.003 | CLoss:  0.144 | Ent: 0.257 | Time: 7515.0s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen6.pt
Ep    16100 | WinRT:  21.0% | AvgLen: 45.0 | ALoss: -0.000 | CLoss:  0.108 | Ent: 0.265 | Time: 7577.6s
Ep    16200 | WinRT:  16.0% | AvgLen: 37.4 | ALoss:  0.003 | CLoss:  0.102 | Ent: 0.272 | Time: 7635.5s
Ep    16300 | WinRT:  25.0% | AvgLen: 40.7 | ALoss: -0.000 | CLoss:  0.135 | Ent: 0.275 | Time: 7697.0s
Ep    16400 | WinRT:  23.0% | AvgLen: 39.0 | ALoss: -0.001 | CLoss:  0.133 | Ent: 0.277 | Time: 7755.7s
Ep    16500 | WinRT:  22.0% | AvgLen: 43.4 | ALoss: -0.000 | CLoss:  0.120 | Ent: 0.275 | Time: 7818.2s
Ep    16600 | WinRT:  22.0% | AvgLen: 42.2 | ALoss: -0.001 | CLoss:  0.123 | Ent: 0.276 | Time: 7876.1s
Ep    16700 | WinRT:  26.0% | AvgLen: 45.9 | ALoss: -0.000 | CLoss:  0.119 | Ent: 0.252 | Time: 7942.1s
Ep    16800 | WinRT:  10.0% | AvgLen: 36.5 | ALoss:  0.000 | CLoss:  0.103 | Ent: 0.267 | Time: 7999.4s
Ep    16900 | WinRT:  22.0% | AvgLen: 44.7 | ALoss: -0.000 | CLoss:  0.097 | Ent: 0.253 | Time: 8061.8s
Ep    17000 | WinRT:  20.0% | AvgLen: 40.2 | ALoss: -0.001 | CLoss:  0.128 | Ent: 0.268 | Time: 8123.0s
Ep    17100 | WinRT:  18.0% | AvgLen: 42.0 | ALoss: -0.001 | CLoss:  0.115 | Ent: 0.266 | Time: 8185.6s
Ep    17200 | WinRT:  18.0% | AvgLen: 40.0 | ALoss: -0.002 | CLoss:  0.103 | Ent: 0.253 | Time: 8243.1s
Ep    17300 | WinRT:  17.0% | AvgLen: 45.3 | ALoss: -0.000 | CLoss:  0.086 | Ent: 0.231 | Time: 8307.6s
Ep    17400 | WinRT:  16.0% | AvgLen: 39.8 | ALoss: -0.000 | CLoss:  0.098 | Ent: 0.232 | Time: 8368.4s
Ep    17500 | WinRT:  18.0% | AvgLen: 40.0 | ALoss: -0.001 | CLoss:  0.125 | Ent: 0.236 | Time: 8426.6s
Ep    17600 | WinRT:  27.0% | AvgLen: 37.2 | ALoss: -0.002 | CLoss:  0.143 | Ent: 0.245 | Time: 8484.1s
Ep    17700 | WinRT:  17.0% | AvgLen: 41.6 | ALoss: -0.001 | CLoss:  0.114 | Ent: 0.253 | Time: 8543.7s
Ep    17800 | WinRT:  21.0% | AvgLen: 44.0 | ALoss: -0.001 | CLoss:  0.102 | Ent: 0.238 | Time: 8607.3s
Ep    17900 | WinRT:  25.0% | AvgLen: 43.7 | ALoss: -0.000 | CLoss:  0.121 | Ent: 0.261 | Time: 8670.7s
Ep    18000 | WinRT:  16.0% | AvgLen: 44.4 | ALoss: -0.001 | CLoss:  0.112 | Ent: 0.258 | Time: 8734.2s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen6.pt
Ep    18100 | WinRT:  14.0% | AvgLen: 44.7 | ALoss: -0.000 | CLoss:  0.090 | Ent: 0.262 | Time: 8799.1s
Ep    18200 | WinRT:  29.0% | AvgLen: 44.0 | ALoss: -0.002 | CLoss:  0.117 | Ent: 0.261 | Time: 8863.9s
Ep    18300 | WinRT:  19.0% | AvgLen: 45.1 | ALoss:  0.002 | CLoss:  0.113 | Ent: 0.270 | Time: 8927.9s
Ep    18400 | WinRT:  23.0% | AvgLen: 48.2 | ALoss:  0.000 | CLoss:  0.099 | Ent: 0.258 | Time: 8996.4s
Ep    18500 | WinRT:  21.0% | AvgLen: 38.3 | ALoss: -0.001 | CLoss:  0.135 | Ent: 0.293 | Time: 9054.0s
Ep    18600 | WinRT:  18.0% | AvgLen: 43.6 | ALoss: -0.000 | CLoss:  0.120 | Ent: 0.269 | Time: 9118.0s
