Starting Gen 5 Self-Play training for 3500000 episodes on cpu...
Ep    34400 | WinRT:  56.0% | AvgLen:  9.9 | ALoss: -0.000 | CLoss:  0.200 | Ent: 0.100 | Time: 730.6s
Ep    34600 | WinRT:  54.5% | AvgLen:  9.9 | ALoss: -0.000 | CLoss:  0.234 | Ent: 0.095 | Time: 734.8s
Ep    34800 | WinRT:  52.5% | AvgLen: 10.0 | ALoss: -0.001 | CLoss:  0.133 | Ent: 0.098 | Time: 739.2s
Ep    35000 | WinRT:  53.5% | AvgLen:  9.8 | ALoss: -0.001 | CLoss:  0.145 | Ent: 0.102 | Time: 743.6s
Ep    35200 | WinRT:  53.5% | AvgLen:  9.4 | ALoss: -0.001 | CLoss:  0.155 | Ent: 0.097 | Time: 747.7s
Ep    35400 | WinRT:  56.5% | AvgLen: 10.1 | ALoss: -0.001 | CLoss:  0.187 | Ent: 0.094 | Time: 752.1s
Ep    35600 | WinRT:  63.0% | AvgLen: 10.3 | ALoss: -0.001 | CLoss:  0.177 | Ent: 0.085 | Time: 756.5s
Ep    35800 | WinRT:  54.5% | AvgLen: 10.2 | ALoss: -0.001 | CLoss:  0.191 | Ent: 0.090 | Time: 760.9s
Ep    36000 | WinRT:  58.0% | AvgLen: 10.2 | ALoss: -0.001 | CLoss:  0.153 | Ent: 0.089 | Time: 765.2s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
Ep    36200 | WinRT:  59.0% | AvgLen:  9.9 | ALoss: -0.001 | CLoss:  0.122 | Ent: 0.091 | Time: 769.7s
Ep    36400 | WinRT:  57.5% | AvgLen:  9.5 | ALoss: -0.000 | CLoss:  0.194 | Ent: 0.093 | Time: 773.9s
Ep    36600 | WinRT:  50.5% | AvgLen:  9.7 | ALoss:  0.000 | CLoss:  0.183 | Ent: 0.097 | Time: 778.2s
