Using device: mps
Loaded Gen 1 model ppo_model_gen1.pt for fine-tuning!
Starting PPO training for 200000 episodes...
Ep    13600 | WinRT:  92.0% | AvgLen: 16.8 | ALoss: -0.001 | CLoss:  0.102 | Ent: 0.079 | Time: 1053.0s
Ep    13700 | WinRT:  97.0% | AvgLen: 11.6 | ALoss:  0.002 | CLoss:  0.079 | Ent: 0.121 | Time: 1058.8s
Ep    13800 | WinRT:  91.0% | AvgLen: 13.7 | ALoss:  0.001 | CLoss:  0.115 | Ent: 0.108 | Time: 1065.6s
Ep    13900 | WinRT:  95.0% | AvgLen:  9.4 | ALoss:  0.001 | CLoss:  0.098 | Ent: 0.113 | Time: 1070.3s
Ep    14000 | WinRT:  88.0% | AvgLen: 10.3 | ALoss: -0.001 | CLoss:  0.217 | Ent: 0.140 | Time: 1075.4s
  -> Saved checkpoint to ppo_model_gen2.pt
Ep    14100 | WinRT:  88.0% | AvgLen:  8.9 | ALoss: -0.004 | CLoss:  0.228 | Ent: 0.136 | Time: 1080.1s
Ep    14200 | WinRT:  88.0% | AvgLen: 10.2 | ALoss: -0.002 | CLoss:  0.182 | Ent: 0.138 | Time: 1085.8s
Ep    14300 | WinRT:  87.0% | AvgLen:  9.5 | ALoss: -0.002 | CLoss:  0.191 | Ent: 0.121 | Time: 1090.9s
Ep    14400 | WinRT:  94.0% | AvgLen:  8.8 | ALoss:  0.000 | CLoss:  0.126 | Ent: 0.124 | Time: 1095.0s
Ep    14500 | WinRT:  86.0% | AvgLen:  8.9 | ALoss: -0.001 | CLoss:  0.223 | Ent: 0.137 | Time: 1099.1s
Ep    14600 | WinRT:  92.0% | AvgLen:  8.7 | ALoss:  0.003 | CLoss:  0.105 | Ent: 0.133 | Time: 1103.4s
Ep    14700 | WinRT:  92.0% | AvgLen: 16.7 | ALoss: -0.000 | CLoss:  0.094 | Ent: 0.090 | Time: 1112.0s
Ep    14800 | WinRT:  93.0% | AvgLen:  8.9 | ALoss: -0.002 | CLoss:  0.185 | Ent: 0.124 | Time: 1116.7s
Ep    14900 | WinRT:  89.0% | AvgLen:  9.4 | ALoss: -0.000 | CLoss:  0.200 | Ent: 0.120 | Time: 1121.1s
Ep    15000 | WinRT:  93.0% | AvgLen:  7.6 | ALoss:  0.003 | CLoss:  0.169 | Ent: 0.123 | Time: 1124.9s
  -> Saved checkpoint to ppo_model_gen2.pt
Ep    15100 | WinRT:  92.0% | AvgLen:  9.3 | ALoss:  0.000 | CLoss:  0.150 | Ent: 0.126 | Time: 1129.4s
